system:index,PLOTID,dw_2015_2018,dw_2015_2021,dw_2018_2021,me_2015_2018,me_2015_2021,me_2018_2021,.geo
000000000000000001e8,id_93858664,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.5948151847853,60.0946717049405]}"
00000000000000000687,id_12697688,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.5948151847853,60.0946717049405]}"
00000000000000000a11,id_70570399,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.5948151847853,60.0946717049405]}"
00000000000000000a7e,id_72982557,6.0,6.0,6.0,6.0,8.0,8.0,"{""type"":""Point"",""coordinates"":[10.764929889974258,59.922853623149145]}"
00000000000000000791,id_27318713,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.764871921660568,60.0194065382594]}"
00000000000000000947,id_65701565,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.764871921660568,60.0194065382594]}"
00000000000000000aa7,id_57210203,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.764871921660568,60.0194065382594]}"
00000000000000000041,id_84507687,6.0,6.0,6.0,14.0,16.0,8.0,"{""type"":""Point"",""coordinates"":[10.806591271116606,59.92238095843748]}"
000000000000000000d2,id_87567741,6.0,6.0,6.0,14.0,16.0,8.0,"{""type"":""Point"",""coordinates"":[10.806591271116606,59.92238095843748]}"
00000000000000000148,id_90095666,6.0,6.0,6.0,14.0,16.0,8.0,"{""type"":""Point"",""coordinates"":[10.806591271116606,59.92238095843748]}"
0000000000000000034f,id_80669545,6.0,6.0,6.0,14.0,16.0,8.0,"{""type"":""Point"",""coordinates"":[10.806591271116606,59.92238095843748]}"
000000000000000003e3,id_73678948,6.0,6.0,6.0,14.0,16.0,8.0,"{""type"":""Point"",""coordinates"":[10.806591271116606,59.92238095843748]}"
00000000000000000746,id_25411338,6.0,6.0,6.0,14.0,16.0,8.0,"{""type"":""Point"",""coordinates"":[10.806591271116606,59.92238095843748]}"
000000000000000003fe,id_74441862,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.677286258768781,59.990640877363624]}"
000000000000000005a0,id_46852282,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.677286258768781,59.990640877363624]}"
0000000000000000071e,id_15929267,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.677286258768781,59.990640877363624]}"
00000000000000000866,id_32494218,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.677286258768781,59.990640877363624]}"
00000000000000000b68,id_61712895,11.0,11.0,11.0,11.0,11.0,11.0,"{""type"":""Point"",""coordinates"":[10.677286258768781,59.990640877363624]}"
000000000000000007b3,id_28183267,6.0,6.0,6.0,6.0,6.0,6.0,"{""type"":""Point"",""coordinates"":[10.72038792955139,59.90916418291505]}"
000000000000000009d0,id_68628745,12.0,11.0,15.0,16.0,15.0,15.0,"{""type"":""Point"",""coordinates"":[10.794560616474408,60.05403591704046]}"
00000000000000000af1,id_58991670,12.0,11.0,15.0,16.0,15.0,15.0,"{""type"":""Point"",""coordinates"":[10.794560616474408,60.05403591704046]}"
00000000000000000340,id_80382474,1.0,4.0,4.0,15.0,15.0,11.0,"{""type"":""Point"",""coordinates"":[10.831361577468497,59.891412501621296]}"
000000000000000005ed,id_40612090,1.0,4.0,4.0,15.0,15.0,11.0,"{""type"":""Point"",""coordinates"":[10.831361577468497,59.891412501621296]}"
00000000000000000685,id_1263898,9.0,9.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.643611127613157,60.09596038514495]}"
0000000000000000069f,id_13213139,9.0,9.0,1.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.643611127613157,60.09596038514495]}"
0000000000000000059f,id_46806225,13.0,13.0,1.0,13.0,13.0,1.0,"{""type"":""Point"",""coordinates"":[10.828561262006932,59.88597239833608]}"
000000000000000006eb,id_14836685,13.0,13.0,1.0,13.0,13.0,1.0,"{""type"":""Point"",""coordinates"":[10.828561262006932,59.88597239833608]}"
00000000000000000983,id_66910925,13.0,13.0,1.0,13.0,13.0,1.0,"{""type"":""Point"",""coordinates"":[10.828561262006932,59.88597239833608]}"
00000000000000000bdb,id_64635712,13.0,13.0,1.0,13.0,13.0,1.0,"{""type"":""Point"",""coordinates"":[10.828561262006932,59.88597239833608]}"
0000000000000000053e,id_44331376,9.0,11.0,3.0,1.0,1.0,1.0,"{""type"":""Point"",""coordinates"":[10.868358738908936,59.98995863490245]}"
00000000000000000738,id_16550509,1.0,2.0,2.0,5.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[10.660065210500374,59.91164344310078]}"
0000000000000000013f,id_89908860,11.0,11.0,11.0,14.0,14.0,6.0,"{""type"":""Point"",""coordinates"":[10.797579427887591,59.89142587892446]}"
